PL (NUM_DEP,NUM_COM,SECTION,NUM);SURFACE;PERIMETRE;Nseg;N50;P2;MSI;PSI;ELONG
112850C1455;0.00715;36;5;2;61.03;1.217;0.745221615402035;1.466
112850C1301;0.00164;17;4;2;60.22;1.157;0.867776303528712;1.517
112850C1300;0.04669;110;9;3;39.28;1.440;0.671450220037952;1.364
112850C1299;0.04327;80;5;3;49.51;1.091;0.902611583782058;1.100
112850C1291;0.01060;47;8;2;53.02;1.283;0.684047919450436;1.132
112850C0897;0.03732;87;6;3;39.64;1.269;0.802793764081283;2.793
112850C1042;0.01247;48;7;3;39.45;1.217;0.795090042916521;1.006
112850C1041;0.00531;32;4;2;68.44;1.222;0.758531176569792;2.239
112850C1036;0.03225;82;8;3;46.81;1.292;0.70279171308821;1.003
112850C0892;0.00370;28;4;2;73.65;1.283;0.707347261832025;2.802
112850C1456;0.00697;38;6;2;52.96;1.271;0.75706870050294;2.138
112850C1107;0.00274;21;4;2;52.17;1.131;0.870057729230062;1.022
112850C0091;0.00724;38;6;2;50.06;1.259;0.728179244438575;1.762
112850C0090;0.00308;22;5;2;54.64;1.136;0.79662471479058;1.123
112850C0089;0.02278;63;7;3;47.13;1.178;0.746788055609813;1.253
112850C0086;0.00685;34;5;2;52.92;1.151;0.79169322454677;1.451
112850C0910;0.00525;50;3;2;90.55;1.935;0.544830706198891;4.766
112850C0909;0.03694;80;7;2;53.87;1.173;0.708627170782271;1.257
112850C1105;0.00523;29;5;2;56.08;1.142;0.789275372657811;1.329
112850C1151;0.02088;76;10;3;45.93;1.483;0.605838152358285;1.041
112850C0085;0.00346;27;5;2;56.44;1.314;0.696895569995483;3.123
112850C0084;0.00455;28;4;2;59.50;1.174;0.817047980842553;1.649
112850C0083;0.00513;31;4;2;65.19;1.211;0.780007675854831;2.190
112850C1313;0.00517;32;6;2;52.62;1.257;0.769240414423255;1.610
112850C1311;0.00229;23;5;2;57.57;1.331;0.736723677206559;2.835
112850C1149;0.00449;30;4;2;73.31;1.276;0.719929912835294;2.756
112850C0994;0.00765;37;5;2;56.42;1.195;0.759985279621328;1.974
112850C0993;0.00220;20;4;2;64.37;1.182;0.790812954771425;1.793
112850C0120;0.00397;26;4;2;60.82;1.156;0.823289167469893;1.524
112850C0119;0.00414;26;4;2;60.45;1.154;0.825894226519616;1.505
112850C0102;0.02484;69;6;2;66.54;1.234;0.698799331361324;2.693
112850C0101;0.00229;25;4;2;81.40;1.464;0.616319495040253;4.451
112850C0118;0.00520;30;4;2;62.16;1.163;0.81198430864134;1.630
112850C0099;0.00691;38;4;2;71.55;1.276;0.708319844953664;1.616
112850C0117;0.00413;26;5;2;55.57;1.157;0.779371275947618;1.525
112850C0112;0.00388;26;4;2;62.58;1.169;0.806806451361851;1.689
112850C0111;0.00475;28;4;2;61.69;1.161;0.815818686368079;1.611
112850C0110;0.00838;37;4;2;53.57;1.132;0.880615942662675;1.057
112850C0109;0.00524;31;4;2;67.18;1.203;0.780591106932908;2.093
112850C0108;0.00521;31;4;2;69.56;1.227;0.759654197785927;2.259
112850C0051;0.09307;124;6;3;49.54;1.148;0.789505700694533;1.618
112850C1248;0.02095;62;7;2;57.33;1.199;0.735270003252382;1.324
112850C1629;0.00032;10;4;2;86.34;1.645;0.690052482858906;6.069
112850C0039;0.02452;109;4;2;71.39;1.960;0.561497503179524;4.602
112850C0038;0.08248;166;6;2;58.90;1.634;0.58970686208962;2.031
112850C0901;0.02336;86;6;2;56.73;1.585;0.571248913038501;5.698
112850C0896;0.01991;64;4;2;73.37;1.276;0.714382884958359;2.716
112850C0049;0.01390;59;4;2;80.03;1.412;0.635501203043322;3.957
112850C0048;0.01909;64;4;2;74.78;1.300;0.697934651017576;2.987
112850C0047;0.03102;93;8;2;54.93;1.495;0.564680466677765;2.923
112850C1628;0.01600;58;8;3;39.53;1.290;0.810830565129489;2.389
112850C1630;0.01595;65;10;3;37.91;1.457;0.718530718066853;3.297
112850C0093;0.00749;52;9;2;53.15;1.706;0.524982661536691;4.169
112850C0092;0.00380;25;5;2;56.46;1.144;0.789360691040488;1.373
112850C0952;0.01186;45;4;2;63.18;1.172;0.806625412980737;1.795
112850C0935;0.00593;37;6;2;54.40;1.368;0.651522723558165;2.698
112850C0982;0.04629;102;9;3;47.13;1.332;0.643608880794211;1.851
112850C0933;0.01208;48;6;2;53.14;1.239;0.724911675366963;2.100
112850C1243;0.04872;117;11;3;47.06;1.491;0.600203901866825;2.277
112850C1580;0.00437;26;4;2;50.48;1.129;0.87743562953395;1.023
112850C0932;0.01155;54;10;4;31.80;1.429;0.66975755336678;2.000
112850C0981;0.00956;68;5;2;79.72;1.964;0.472039775265567;8.719
112850C0033;0.04125;82;5;2;57.30;1.142;0.783316059528487;1.291
112850C0911;0.00460;29;4;2;65.36;1.188;0.782185075345611;1.788
112850C0918;0.03029;84;6;2;58.66;1.357;0.655677277082398;2.125
112850C1119;0.05740;107;10;3;38.73;1.257;0.723069867881092;1.272
112850C0913;0.01636;53;5;2;56.39;1.174;0.764899885871693;1.603
112850C1182;0.00571;31;4;2;56.73;1.142;0.846919087801227;1.183
112850C1181;0.01030;42;5;3;47.16;1.161;0.822214486909658;1.404
112850C1489;0.00658;32;6;3;44.22;1.126;0.819227709941845;1.360
112850C0931;0.01128;43;4;2;52.82;1.131;0.867840099087539;1.173
112850C1488;0.00578;30;4;2;51.74;1.131;0.879430303015012;1.151
112850C1329;0.00265;21;5;2;57.86;1.163;0.767669604382508;1.534
112850C1491;0.00020;6;4;2;67.74;1.208;0.772045723772277;2.066
112850C1328;0.04458;93;8;3;48.84;1.238;0.70737756234143;1.107
112850C0951;0.00822;38;4;2;65.89;1.191;0.867357487924415;1.851
112850C0929;0.00580;31;4;2;58.07;1.157;0.843702986031439;1.330
112850C0928;0.01164;43;5;2;52.19;1.131;0.811685016014921;1.130
112850C1490;0.00149;19;4;2;79.65;1.404;0.640025362129822;3.859
112850C1043;0.01239;45;4;2;52.31;1.131;0.9497183987347;1.040
