PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;BOIS_%;NATURE_%;AUTRE_%;DOMINANTE;PROBA_DOMINANTE;SURF_TOTALE_M2
11287WK0040;11;Peyrolles;287;WK;0040;5;85.8;14.2;0.0;BOIS;100;48481.4
11287WK0083;11;Peyrolles;287;WK;0083;5;100.0;0.0;0.0;BOIS;100;5063.6
11287WK0044;11;Peyrolles;287;WK;0044;5;96.11;0.0;3.89;BOIS;100;27868.2
11287WK0043;11;Peyrolles;287;WK;0043;5;100.0;0.0;0.0;BOIS;100;42498.0
11287WK0042;11;Peyrolles;287;WK;0042;5;100.0;0.0;0.0;BOIS;100;5153.8
11287WK0047;11;Peyrolles;287;WK;0047;5;92.97;0.0;7.03;BOIS;100;14553.1
11287WK0049;11;Peyrolles;287;WK;0049;5;100.0;0.0;0.0;BOIS;100;8282.6
11287WK0048;11;Peyrolles;287;WK;0048;5;100.0;0.0;0.0;BOIS;100;24421.4
11287WK0052;11;Peyrolles;287;WK;0052;5;64.99;0.0;35.01;BOIS;100;30563.8
11287WK0050;11;Peyrolles;287;WK;0050;5;100.0;0.0;0.0;BOIS;100;9039.3
11287WK0039;11;Peyrolles;287;WK;0039;5;100.0;0.0;0.0;BOIS;100;23847.4
11287WL0010;11;Peyrolles;287;WL;0010;5;100.0;0.0;0.0;BOIS;100;7680.5
11287WL0009;11;Peyrolles;287;WL;0009;5;100.0;0.0;0.0;BOIS;100;10081.9
11287WL0036;11;Peyrolles;287;WL;0036;5;95.86;0.0;4.14;BOIS;100;5566.3
11287WL0039;11;Peyrolles;287;WL;0039;5;92.35;0.0;7.65;BOIS;100;3698.5
11287WL0033;11;Peyrolles;287;WL;0033;5;15.78;0.0;84.22;AUTRE;0;3625.2
