PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
110040A0240;28.79;48.0;71.21;70.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0241;100.0;48.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0242;24.6;50.7;75.4;50.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0246;2.55;51.4;97.45;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0247;44.32;48.0;55.68;70.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0248;0.0;0.0;100.0;70.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0251;0.0;0.0;100.0;73.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0257;97.28;54.0;2.72;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0258;95.36;54.0;4.64;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0260;18.61;54.0;81.39;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0261;86.3;54.0;13.7;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0273;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0274;98.36;54.0;1.64;81.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0275;99.94;54.0;0.06;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0276;99.15;54.0;0.85;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0277;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0278;13.53;54.0;86.47;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0279;13.34;54.0;86.66;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0280;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0281;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0282;100.0;54.0;0.0;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0283;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0284;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0285;19.34;54.0;80.66;73.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0286;12.77;54.0;87.23;74.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0287;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0288;70.66;54.0;29.34;80.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0289;99.74;54.0;0.26;71.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0290;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0291;71.22;54.0;28.78;45.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0292;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0293;62.1;54.0;37.9;48.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0294;4.11;54.0;95.89;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0295;77.4;54.0;22.6;76.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0296;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0297;62.36;54.0;37.64;50.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0298;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0299;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0302;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0303;2.83;54.0;97.17;87.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0304;15.78;54.0;84.22;87.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0305;80.75;54.0;19.25;87.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0306;74.16;54.0;25.84;87.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0307;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0308;58.23;54.0;0.0;0.0;0.0;0.0;41.77;44.0;0.0;0.0;0.0;0.0
110040A0311;98.13;54.0;1.87;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0313;97.24;54.0;0.13;81.0;0.0;0.0;2.64;43.0;0.0;0.0;0.0;0.0
110040A0314;83.71;54.0;3.08;78.0;0.0;0.0;13.22;42.7;0.0;0.0;0.0;0.0
110040A0315;0.68;54.0;99.32;80.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0316;0.0;0.0;100.0;57.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0324;0.0;0.0;98.17;56.2;0.0;0.0;1.83;45.0;0.0;0.0;0.0;0.0
110040A0325;6.33;54.0;92.02;64.5;0.0;0.0;1.65;44.8;0.0;0.0;0.0;0.0
110040A0326;17.84;54.0;53.74;66.0;0.0;0.0;28.42;44.2;0.0;0.0;0.0;0.0
110040A0327;100.0;54.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0328;1.05;54.0;98.95;66.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0329;0.54;54.0;99.46;66.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0355;96.58;54.0;3.42;79.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
110040A0358;23.08;54.0;76.92;66.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
