PL;ARTIFICIALISE_%;ARTIFICIALISE_PROBA;AGRICULTURE_%;AGRICULTURE_PROBA;NATURE_%;NATURE_PROBA;BOIS_%;BOIS_PROBA;EAU_%;EAU_PROBA;AUTRE_%;AUTRE_PROBA
11287WK0086;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11377WB0057;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0077;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0093;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0092;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0011;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0068;0.0;0.0;0.0;0.0;0.0;0.0;33.33;100.0;0.0;0.0;66.67;0.0
11287WK0082;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WK0090;0.0;0.0;0.0;0.0;0.0;0.0;5.16;100.0;0.0;0.0;94.84;0.0
11287WK0027;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0026;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0029;0.0;0.0;0.0;0.0;0.0;0.0;94.28;100.0;0.0;0.0;5.72;0.0
11287WK0035;0.0;0.0;0.0;0.0;6.33;100.0;93.35;100.0;0.0;0.0;0.32;0.0
11287WK0031;0.0;0.0;0.0;0.0;0.0;0.0;95.98;100.0;0.0;0.0;4.02;0.0
11287WK0051;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0038;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0034;0.0;0.0;0.0;0.0;2.18;100.0;97.42;100.0;0.0;0.0;0.41;0.0
11287WK0067;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WL0008;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WL0037;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WL0035;0.0;0.0;0.0;0.0;0.0;0.0;1.86;100.0;0.0;0.0;98.14;0.0
11287WL0031;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WL0034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0016;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0017;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0015;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0018;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0012;0.0;0.0;0.0;0.0;0.0;0.0;34.06;100.0;0.0;0.0;65.94;0.0
11287WL0019;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0023;0.0;0.0;0.0;0.0;0.0;0.0;1.09;100.0;0.0;0.0;98.91;0.0
11287WL0011;0.0;0.0;0.0;0.0;0.0;0.0;99.38;100.0;0.0;0.0;0.62;0.0
11287WL0021;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0
11287WL0024;0.0;0.0;0.0;0.0;0.0;0.0;86.3;100.0;0.0;0.0;13.7;0.0
11287WK0033;0.0;0.0;0.0;0.0;0.0;0.0;57.09;100.0;0.0;0.0;42.91;0.0
11287WL0025;0.0;0.0;0.0;0.0;0.0;0.0;98.82;100.0;0.0;0.0;1.18;0.0
11287WK0032;0.0;0.0;0.0;0.0;0.0;0.0;32.6;100.0;0.0;0.0;67.4;0.0
11287WK0030;0.0;0.0;0.0;0.0;0.0;0.0;93.0;100.0;0.0;0.0;7.0;0.0
11287WK0041;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0040;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0083;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0044;0.0;0.0;0.0;0.0;0.0;0.0;96.11;100.0;0.0;0.0;3.89;0.0
11287WK0043;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
11287WK0042;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;0.0;0.0;0.0;0.0
