PL;ARTIFICIALISE_OSO;AGRICULTURE_OSO;NATURE_OSO;BOIS_OSO;EAU_OSO;AUTRE_OSO;ARTIFICIALISE_RPG;AGRICULTURE_RPG;NATURE_RPG;BOIS_RPG;EAU_RPG;AUTRE_RPG;ARTIFICIALISE_TOPO;AGRICULTURE_TOPO;NATURE_TOPO;BOIS_TOPO;EAU_TOPO;AUTRE_TOPO;ARTIFICIALISE_COSIA;AGRICULTURE_COSIA;NATURE_COSIA;BOIS_COSIA;EAU_COSIA;AUTRE_COSIA;ARTIFICIALISE_FORET;AGRICULTURE_FORET;NATURE_FORET;BOIS_FORET;EAU_FORET;AUTRE_FORET;DIV_ARTIFICIALISE;DIV_AGRICULTURE;DIV_NATURE;DIV_BOIS;DIV_EAU;INDICE_DIVERGENCE;TAUX_ACCORD_PRECIS;CONSENSUS;SURFACE;GRAVELIUS
110040A0179;91.3;8.7;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.05;91.0;6.7;2.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;40.82501684016799;50.942791442950984;2.9963310898497184;1.0017584539199058;0.0;19.15317956537772;80.84682043462229;ARTIFICIALISE;5874.963399924665;1.1727828648366798
110040A0180;100.0;0.0;0.0;0.0;0.0;0.0;0.0;99.81;0.0;0.0;0.0;0.19;0.0;0.0;0.0;0.0;0.0;100.0;0.25;94.46;4.93;0.36;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;44.69353980163129;53.23664414667776;2.2047630258147928;0.16099689437998485;0.0;20.059188773700768;79.94081122629923;ARTIFICIALISE;5757.59780001851;1.181434637595608
110040A0181;100.0;0.0;0.0;0.0;0.0;0.0;0.0;95.2;0.0;0.0;0.0;4.8;0.0;0.0;0.0;0.0;0.0;100.0;2.61;86.88;5.63;4.88;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;44.443924444180226;49.95134913092939;2.517812542664763;2.1824023460397948;0.0;19.81909769276283;80.18090230723718;ARTIFICIALISE;7261.606149971542;1.1950644877198595
110040A0182;96.3;3.7;0.0;0.0;0.0;0.0;0.0;95.82;0.0;0.0;0.0;4.18;0.0;0.0;0.0;0.0;0.0;100.0;0.59;91.89;5.14;2.38;0.0;0.0;0.0;0.0;0.0;0.64;0.0;99.36;43.00146416111898;50.7724750233825;2.298677880869784;1.0307667049337594;0.0;19.420676754061002;80.579323245939;ARTIFICIALISE;11113.272550042931;1.2010068909890854
110040A0183;86.68;13.32;0.0;0.0;0.0;0.0;0.0;18.96;0.0;0.0;0.0;81.04;0.0;0.0;0.0;0.0;0.0;100.0;1.73;23.05;72.87;2.35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;38.578328372286954;10.676196888405535;32.58845470408194;1.0509519494249013;0.0;16.578786382839866;83.42121361716013;ARTIFICIALISE;2628.808049987307;1.1985983256802943
110040A0185;0.0;100.0;0.0;0.0;0.0;0.0;0.0;93.22;0.0;0.0;0.0;6.78;0.0;0.0;0.0;0.0;0.0;100.0;0.07;88.47;8.83;2.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.03130495168499706;51.592291284648326;3.9488960482646283;1.1761717561648894;0.0;11.349732808152568;88.65026719184743;AGRICULTURE;12698.145900011026;1.2206056394167188
110040A0194;47.26;52.74;0.0;0.0;0.0;0.0;0.0;81.63;0.0;0.0;0.0;18.37;0.0;0.0;0.0;0.0;0.0;100.0;0.0;32.28;67.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;21.135314523328013;35.1159450962095;30.285304687257156;0.0;0.0;17.307312861358934;82.69268713864106;AGRICULTURE;29.590149988117766;1.1711586284768496
110040A0195;36.99;63.01;0.0;0.0;0.0;0.0;0.0;98.55;0.0;0.0;0.0;1.45;0.0;0.0;0.0;0.0;0.0;100.0;0.0;91.51;8.49;0.0;0.0;0.0;0.0;0.0;0.0;0.25;0.0;99.75;16.542430897543444;48.0821113305146;3.7968434257946426;0.1118033988749895;0.0;13.706637810545535;86.29336218945447;AGRICULTURE;13804.313800151125;1.2768572101723203
110040A0196;67.14;4.73;0.0;28.14;0.0;0.0;0.0;2.06;0.0;0.0;0.0;97.94;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.03;98.61;1.36;0.0;0.0;0.0;0.0;0.0;98.47;0.0;1.53;30.02592080186718;2.0805600207636408;44.09973265225086;42.469947963236315;0.0;23.735232287623596;76.2647677123764;ARTIFICIALISE;1324.2116999902737;1.4420493385179742
110040A0197;2.99;97.01;0.0;0.0;0.0;0.0;0.0;91.99;0.0;0.0;0.0;8.01;0.0;0.0;0.0;0.0;0.0;100.0;0.3;83.26;16.45;0.0;0.0;0.0;0.0;0.0;0.0;5.88;0.0;94.12;1.3100839667746493;49.950541238308915;7.356663645974308;2.629615941539752;0.0;12.249380958519525;87.75061904148048;AGRICULTURE;5831.054650190484;1.5271003003228598
110040A0198;0.04;87.26;0.0;12.7;0.0;0.0;0.0;76.94;0.0;0.0;0.0;23.06;0.0;0.0;0.0;0.0;0.0;100.0;0.52;69.37;20.96;9.15;0.0;0.0;0.0;0.0;0.0;20.26;0.0;79.74;0.22873565528793277;43.114032286484175;9.37359696167912;8.672221168766397;0.0;12.277717214443525;87.72228278555647;AGRICULTURE;8212.104599593351;1.4314526515489552
110040A0199;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;34.11;65.89;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;15.254455742503565;50.50245954406577;0.0;13.151383057313868;86.84861694268614;BOIS;1238.8066500256841;1.1451082770707213
110040A0200;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;80.83;19.17;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;36.1482749242616;51.86615254672357;0.0;17.602885494197032;82.39711450580296;BOIS;1437.1379999229332;1.1728503925163836
110040A0201;0.0;7.76;0.0;92.24;0.0;0.0;0.0;0.79;0.0;0.0;0.0;99.21;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;80.44;19.56;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;3.399308753261463;35.97386162201662;49.79699589332674;0.0;17.834033253720964;82.16596674627904;BOIS;925.1129999969287;1.2005644137844265
110040A0203;0.0;100.0;0.0;0.0;0.0;0.0;0.0;95.49;0.0;0.0;0.0;4.51;0.0;0.0;0.0;0.0;0.0;100.0;0.0;92.85;2.79;4.36;0.0;0.0;0.0;0.0;0.0;0.1;0.0;99.9;0.0;52.70548235240808;1.247725931444883;1.9391544549106967;0.0;11.178472547752733;88.82152745224727;AGRICULTURE;3474.8358999549873;1.1664889017864792
110040A0204;0.0;16.49;0.0;83.51;0.0;0.0;0.0;8.18;0.0;0.0;0.0;91.82;0.0;0.0;0.0;0.0;0.0;100.0;0.0;4.4;81.94;13.65;0.0;0.0;0.0;0.0;0.0;96.81;0.0;3.19;0.0;6.87712730724101;36.644682015266554;47.45404756182554;0.0;18.195171376866618;81.80482862313337;BOIS;3380.4987501789237;1.1393178139230933
110040A0205;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;23.21;76.79;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0.0;0.0;0.0;10.379827551554024;51.415375326841676;0.0;12.35904057567914;87.64095942432085;BOIS;836.7171499658896;1.3179298031821485
