PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;DOM_2018;PROB_2018;DOM_2019;PROB_2019;DOM_2020;PROB_2020;DOM_2021;PROB_2021;DOM_2022;PROB_2022;DOM_2023;PROB_2023;DOM_2024;PROB_2024;DOMINANTE;SCORE_STABILITE;PROBA_PONDEREE;LOGIQUE_ARBITRAGE
110150W0181;11;Arques;015;0W;0181;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0001;11;Peyrolles;287;WK;0001;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0002;11;Peyrolles;287;WK;0002;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;57.1;0.0;MAJORITE
11287WK0059;11;Peyrolles;287;WK;0059;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0088;11;Peyrolles;287;WK;0088;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0003;11;Peyrolles;287;WK;0003;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0095;11;Peyrolles;287;WK;0095;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0005;11;Peyrolles;287;WK;0005;5;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
11287WK0006;11;Peyrolles;287;WK;0006;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0065;11;Peyrolles;287;WK;0065;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0056;11;Peyrolles;287;WK;0056;5;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;NATURE;100.0;AGRICULTURE;100.0;NATURE;85.7;100.0;MAJORITE
11287WK0020;11;Peyrolles;287;WK;0020;5;AUTRE;0.0;AUTRE;0.0;NATURE;79.0;AGRICULTURE;82.4;AGRICULTURE;69.0;AUTRE;0.0;AUTRE;0.0;AUTRE;57.1;0.0;MAJORITE
11287WK0021;11;Peyrolles;287;WK;0021;5;AGRICULTURE;49.0;AUTRE;0.0;AUTRE;0.0;AGRICULTURE;64.5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;71.4;0.0;MAJORITE
11287WK0007;11;Peyrolles;287;WK;0007;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0091;11;Peyrolles;287;WK;0091;5;AGRICULTURE;99.9;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;99.9;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
11287WK0057;11;Peyrolles;287;WK;0057;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0024;11;Peyrolles;287;WK;0024;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0019;11;Peyrolles;287;WK;0019;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0018;11;Peyrolles;287;WK;0018;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0014;11;Peyrolles;287;WK;0014;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0008;11;Peyrolles;287;WK;0008;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0013;11;Peyrolles;287;WK;0013;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0017;11;Peyrolles;287;WK;0017;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0004;11;Peyrolles;287;WK;0004;5;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
11287WK0009;11;Peyrolles;287;WK;0009;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0072;11;Peyrolles;287;WK;0072;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0066;11;Peyrolles;287;WK;0066;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0073;11;Peyrolles;287;WK;0073;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0010;11;Peyrolles;287;WK;0010;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0016;11;Peyrolles;287;WK;0016;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0074;11;Peyrolles;287;WK;0074;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0015;11;Peyrolles;287;WK;0015;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0075;11;Peyrolles;287;WK;0075;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
11287WK0085;11;Peyrolles;287;WK;0085;5;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;AGRICULTURE;100.0;100.0;MAJORITE
11287WK0076;11;Peyrolles;287;WK;0076;5;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;0.0;AUTRE;100.0;0.0;MAJORITE
