PL;CODE_DEP;NOM_COM;CODE_COM;SECTION;NUMERO;DALLE;ARTIFICIALISE_%;AGRICULTURE_%;NATURE_%;BOIS_%;EAU_%;AUTRE_%;DOMINANTE;PROBA_PONDEREE;SURF_CAD
11287WK0010;11;Peyrolles;287;WK;0010;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;313.6870000196774
11287WK0016;11;Peyrolles;287;WK;0016;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;36.79855000768304
11287WK0074;11;Peyrolles;287;WK;0074;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;82.42915000433139
11287WK0015;11;Peyrolles;287;WK;0015;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;170.310449984382
11287WK0075;11;Peyrolles;287;WK;0075;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;46.940000016236446
11287WK0085;11;Peyrolles;287;WK;0085;5;0.0;69.57;22.09;0.0;0.0;8.34;AGRICULTURE;100.0;8884.292400020155
11287WK0076;11;Peyrolles;287;WK;0076;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;40.002249997298115
11287WK0084;11;Peyrolles;287;WK;0084;5;0.0;10.0;40.41;0.0;0.0;49.59;AUTRE;0.0;549.226200001983
11287WK0025;11;Peyrolles;287;WK;0025;5;0.0;78.96;0.0;0.0;0.0;21.04;AGRICULTURE;100.0;1581.754399992376
11287WK0079;11;Peyrolles;287;WK;0079;5;0.0;41.51;0.0;0.0;0.0;58.49;AUTRE;0.0;2367.8134499719167
11287WK0086;11;Peyrolles;287;WK;0086;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1023.8176000409268
11377WB0057;11;Serres;377;WB;0057;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;262843.2363999111
11287WK0077;11;Peyrolles;287;WK;0077;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;86.55269998361723
11287WK0093;11;Peyrolles;287;WK;0093;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;229.3870499805811
11287WK0092;11;Peyrolles;287;WK;0092;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;47.23459999923964
11287WK0011;11;Peyrolles;287;WK;0011;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;80.91684999202842
11287WK0068;11;Peyrolles;287;WK;0068;5;0.0;3.42;79.8;0.0;0.0;16.78;NATURE;100.0;1166.5153498141417
11287WK0082;11;Peyrolles;287;WK;0082;5;0.0;40.94;11.29;0.0;0.0;47.78;AUTRE;0.0;134.70690000686622
11287WK0090;11;Peyrolles;287;WK;0090;5;0.0;92.45;3.93;0.0;0.0;3.62;AGRICULTURE;100.0;1514.4840500268472
11287WK0027;11;Peyrolles;287;WK;0027;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;229.69369996737151
11287WK0026;11;Peyrolles;287;WK;0026;5;0.0;4.0;0.0;0.0;0.0;96.0;AUTRE;0.0;482.04209999548755
11287WK0029;11;Peyrolles;287;WK;0029;5;0.0;0.0;48.14;0.0;0.0;51.86;AUTRE;0.0;25474.939450083883
11287WK0035;11;Peyrolles;287;WK;0035;5;0.0;0.0;59.75;0.0;0.0;40.25;NATURE;100.0;557170.465849879
11287WK0031;11;Peyrolles;287;WK;0031;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;5333.98555006224
11287WK0051;11;Peyrolles;287;WK;0051;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;3270.7186501329893
11287WK0038;11;Peyrolles;287;WK;0038;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;10517.296700204273
11287WK0034;11;Peyrolles;287;WK;0034;5;0.0;0.0;1.78;0.0;0.0;98.22;AUTRE;0.0;90466.15494970833
11287WK0067;11;Peyrolles;287;WK;0067;5;0.0;0.0;100.0;0.0;0.0;0.0;NATURE;100.0;62.93805000025888
11287WL0008;11;Peyrolles;287;WL;0008;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;21847.610099658992
11287WL0037;11;Peyrolles;287;WL;0037;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1209.2043999881485
11287WL0035;11;Peyrolles;287;WL;0035;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1584.569249983384
11287WL0031;11;Peyrolles;287;WL;0031;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;439.02940002602475
11287WL0034;11;Peyrolles;287;WL;0034;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;1302.115799996701
11287WL0016;11;Peyrolles;287;WL;0016;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;442.06994999228505
11287WL0017;11;Peyrolles;287;WL;0017;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;60.8859999991788
11287WL0014;11;Peyrolles;287;WL;0014;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;519.4827500273051
11287WL0015;11;Peyrolles;287;WL;0015;5;0.0;0.0;0.0;0.0;0.0;100.0;AUTRE;0.0;167.12460001894698
